"CED","Family1Child","Family2Children","Family3Children","Family4Children","Family5Children","Family6PlusChildren","FamilyChildrenNA","HHInc_Negative","HHInc_Nil","HHInc_1_149","HHInc_150_299","HHInc_300_399","HHInc_400_499","HHInc_500_649","HHInc_650_799","HHInc_800_999","HHInc_1000_1249","HHInc_1250_1499","HHInc_1500_1749","HHInc_1750_1999","HHInc_2000_2499","HHInc_2500_2999","HHInc_3000_3499","HHInc_3500_3999","HHInc_4000_4499","HHInc_4500_4999","HHInc_5000_5999","HHInc_6000_7999","HHInc_8000_Plus","HHInc_Partial","HHInc_All_incomes_not_stated","HHInc_NA","HHTotal","Rent_Nil","Rent_1_74","Rent_75_99","Rent_100_124","Rent_125_149","Rent_150_174","Rent_175_199","Rent_200_224","Rent_225_249","Rent_250_274","Rent_275_299","Rent_300_324","Rent_325_349","Rent_350_374","Rent_375_399","Rent_400_424","Rent_425_449","Rent_450_549","Rent_550_649","Rent_650_749","Rent_750_849","Rent_850_949","Rent_950_Plus","Rent_Not_stated","Rent_Not_applicable","Age_0_4","Age_5_9","Age_10_14","Age_15_19","Age_20_24","Age_25_29","Age_30_34","Age_35_39","Age_40_44","Age_45_49","Age_50_54","Age_55_59","Age_60_64","Age_65_69","Age_70_74","Age_75_79","Age_80_84","Age_85_89","Age_90_94","Age_95_99","Age_100_Plus","NeverMarried","Widowed","Divorced","Separated","Married","MaritalStatusNA","Male","Female","Population","Ed_Postgraduate_Degree","Ed_Graduate_Diploma_and_Graduate_Certificate","Ed_Bachelor_Degree","Ed_Advanced_Diploma_and_Diploma","Ed_Certificate_III_IV","Ed_Secondary_Education_Years_10_and_above","Ed_Certificate_I_II","Ed_Secondary_Education_Years_9_and_below","Ed_Supplementary_Codes","Ed_Not_stated","Ed_Not_applicable","LabourForceStatus_Employed_worked_FT","LabourForceStatus_Employed_worked_PT","LabourForceStatus_Employed_away_from_work","LabourForceStatus_Unemployed_looking_for_FT","LabourForceStatus_Unemployed_looking_for_PT","LabourForceStatus_Not_in_the_labour_force","LabourForceStatus_Not_stated","LabourForceStatus_Not_applicable"
"Corangamite",8841,9554,3863,941,143,47,37732,127,525,455,1038,1419,3658,2660,4051,3840,4847,4279,3422,3350,6131,3739,2185,1581,776,753,605,443,48,4235,1504,20150,75820,565,121,96,431,260,488,435,761,444,931,836,1329,730,1189,788,761,323,807,184,59,33,23,63,429,63744,9632,10315,9820,9220,8917,8159,9119,9343,10427,10142,9750,9937,9724,9211,6832,4747,3461,2436,1228,271,45,38550,7077,9758,3540,64047,29773,74913,77829,152745,4726,3459,19105,12969,22295,35470,80,9994,3222,11638,29773,39819,27365,4215,1762,1797,41087,6916,29773
"Corio",10050,8553,3308,849,184,70,40767,123,652,468,1546,2208,5101,3222,5006,4466,5027,4380,3320,3102,5209,2949,1694,1244,683,556,415,337,33,3789,1995,11870,69397,436,178,186,901,471,749,819,1379,1214,2190,1801,2073,1000,1162,614,502,168,447,129,38,18,8,26,586,52290,8924,8786,8533,9250,9731,9776,9513,8755,9617,9802,9976,9783,9281,8785,6617,5143,3675,2553,1114,266,28,43099,8121,11814,4585,56052,26242,72787,77122,149917,3159,2415,13759,10894,22928,37868,148,14090,3719,14685,26242,37094,23413,3775,2850,2004,46483,8051,26242
"Deakin",10442,10386,3253,625,145,40,34856,143,762,409,957,1288,3210,2376,3372,3603,4418,3905,3229,3191,5985,4164,2734,2052,1152,971,820,546,55,3615,1218,6073,60260,347,85,98,401,175,278,205,301,286,508,665,1660,1425,1778,1233,1279,573,1417,353,112,44,10,78,464,46497,9231,9161,8356,8406,8448,9315,10836,10640,10812,10194,9203,8323,7539,7232,6109,4806,3769,2719,1287,321,39,37485,7181,9694,3039,62617,26752,70762,76001,146766,8257,4010,24308,12654,15254,33814,76,8848,4147,8657,26752,42664,24197,3204,2137,2191,40398,5217,26752
"Dunkley",10184,9639,3288,751,144,56,37646,128,621,381,1075,1650,4070,2801,4040,4109,4750,4132,3360,3028,5604,3509,2103,1584,889,710,632,412,53,4066,1750,8360,63819,302,122,93,618,254,383,351,775,663,1352,1366,2186,1314,1372,738,701,302,756,249,123,53,30,96,510,49127,8870,9034,8474,8676,8422,8341,8950,9044,10079,10634,9826,9584,8636,8474,6908,5118,3616,2332,1018,309,38,40344,7229,13015,4338,55084,26378,70671,75711,146376,3318,2702,14654,12675,22881,37786,133,9667,3621,12569,26378,40247,23403,3491,2387,1944,41146,7383,26378
"Flinders",9435,9061,3452,833,139,46,41339,176,689,457,1141,1744,4569,3109,4932,4354,5073,4455,3369,3279,5335,3214,1772,1386,727,654,502,454,58,4288,2228,37511,95472,687,86,62,376,173,332,329,723,638,1348,1084,1555,859,1069,545,536,168,661,195,94,50,16,67,445,83391,8290,9410,9001,8649,7501,7062,7540,7941,9745,10569,10403,10783,10828,11254,9059,6481,4447,2958,1236,320,30,36826,8075,13148,4743,64001,26700,75053,78443,153496,2608,2572,12706,12689,26040,39801,129,11838,3943,14476,26700,37855,25358,4071,1954,1585,47399,8570,26700
"Gellibrand",11765,10218,3105,693,178,95,43341,159,1002,550,1569,1850,3935,2363,3852,3802,4695,4156,3584,3367,6256,4135,2953,2620,1248,1243,1109,905,66,4339,1653,8995,70409,450,159,170,734,292,495,602,1220,888,1472,1647,2691,1529,1942,1122,1366,588,2222,818,301,124,70,158,740,48621,11560,9687,7529,7955,11403,14825,15570,13923,12632,11412,10193,9256,7562,6444,4892,4114,3374,2309,985,250,20,53907,7181,10916,4390,60706,28777,82717,83155,165874,8792,4085,26090,11901,15460,38446,116,13388,5421,13403,28777,49824,24816,4006,3805,2913,42694,9043,28777
"Gippsland",8314,7245,3013,879,178,60,42199,162,632,554,1548,2262,5249,3240,5335,4443,4941,4104,2965,2772,4502,2416,1343,1189,506,500,325,249,42,3985,2070,16271,71612,688,253,313,951,633,1301,1278,1747,1020,1534,754,937,414,463,169,184,38,99,24,15,8,3,38,483,58259,8053,8670,8319,8102,7515,7666,7996,7520,8088,8982,9831,10651,10537,10436,7706,5621,3716,2346,1008,239,34,36235,8093,11691,4552,57415,25036,70688,72345,143030,1805,2027,9782,9331,24567,36402,155,13799,3256,16874,25036,32481,21167,4028,2965,1644,45753,9949,25036
"Goldstein",9354,11447,3711,570,57,16,34066,129,773,407,822,1155,2507,1998,2549,2538,3278,2960,2503,2425,5189,3341,2653,3680,2121,2222,2379,2401,321,4454,1369,8219,62401,452,106,78,454,150,220,152,265,297,489,453,721,525,883,736,926,534,2270,1251,811,618,394,914,423,48274,7881,9794,10088,9195,8092,7166,7855,8558,10967,12373,10990,9943,8395,7760,5857,4260,3318,2963,1683,416,60,37117,7040,9104,2731,63863,27761,70624,77001,147624,11177,4671,31736,12561,9635,31034,32,6261,3532,9222,27761,42904,25234,3050,1732,1998,38737,6205,27761
"Gorton",13587,15215,5660,1690,424,296,32372,181,761,374,1095,1215,2902,2274,4015,4074,5394,5102,4216,3978,7323,4460,2558,1581,776,566,519,290,47,4589,1478,6665,66420,342,72,73,204,123,311,229,472,653,1482,1389,2281,1283,1637,659,624,177,421,78,23,35,13,59,492,53274,16179,16133,13802,12730,12840,14084,16356,16376,15425,13178,11152,9907,9020,7396,4448,2693,1635,884,342,89,13,50094,5199,11318,5614,76355,46113,96216,98482,194692,4101,1867,17820,13026,23648,51890,150,14915,6156,15009,46113,53647,25947,4765,4451,3235,47858,8674,46113
"Higgins",8461,8315,2762,450,41,13,50224,170,1642,536,1119,1374,2542,1951,2608,3024,3980,3871,3565,3241,6749,3666,2839,4401,1904,2180,2432,2751,334,4830,1446,12138,75301,590,127,142,750,280,371,296,465,599,1116,1087,1901,1392,2434,1851,2224,1016,4430,2432,1215,688,393,909,787,47798,7317,7536,6999,7495,13562,17420,15391,11271,10077,10013,9008,8168,7150,6632,5098,4208,3002,2153,1101,287,40,58858,5584,8822,2623,56205,21855,73751,80190,153939,15260,5072,41120,12081,8326,29906,33,5383,3475,11429,21855,53630,24750,3301,2352,2411,36868,8777,21855
