neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
Waverley,-33.8980758692096,151.272248212644,Entire home/apt,3,10,0.14,365,999
Waverley,-33.8895849627378,151.274061158832,Entire home/apt,4,22,0.27,301,150
The Hills Shire,-33.7627503597344,151.013164952631,Private room,2,19,0.25,295,80
Sydney,-33.8817020042375,151.195389577793,Entire home/apt,3,88,1.09,168,419
Marrickville,-33.918849072211,151.152602582829,Entire home/apt,7,133,1.62,87,130
Hornsby,-33.7349185999014,151.07400132135,Private room,1,35,0.47,250,75
Hornsby,-33.735534536594,151.075187900091,Private room,1,9,0.4,250,80
Ashfield,-33.8890329319348,151.139528680015,Entire home/apt,1,3,0.06,0,84
Sydney,-33.8710918343039,151.223981308691,Entire home/apt,2,61,0.77,361,251
Mosman,-33.8232909502709,151.236787214644,Private room,5,6,0.19,348,145
Waverley,-33.8930575077079,151.262580825021,Entire home/apt,2,94,1.2,279,174
Waverley,-33.8929631260085,151.262765664094,Entire home/apt,2,72,1.23,271,140
Marrickville,-33.8974313418929,151.14234496416,Entire home/apt,7,5,0.08,0,289
City Of Kogarah,-33.9970617742648,151.115729765328,Entire home/apt,3,45,0.57,281,168
Sydney,-33.8867278173817,151.197814434119,Private room,2,129,1.59,346,84
Waverley,-33.8862162504423,151.276100930115,Entire home/apt,7,12,0.2,0,375
Sydney,-33.8851719963921,151.212638423424,Entire home/apt,2,31,0.46,295,220
Sydney,-33.882912003103,151.211214261404,Entire home/apt,2,292,3.59,136,150
Sydney,-33.8871191666343,151.196776299329,Entire home/apt,7,135,1.68,125,210
Randwick,-33.9206172098011,151.252932376456,Entire home/apt,1,192,2.61,64,109
North Sydney,-33.8318358314398,151.22683250584,Private room,3,60,0.83,0,57
Sydney,-33.8892610707894,151.201721771287,Entire home/apt,1,443,5.46,208,136
Marrickville,-33.8970982690071,151.157183921835,Private room,1,64,0.84,361,150
Sydney,-33.8766397963302,151.213122013528,Private room,2,154,2.31,72,71
Marrickville,-33.8969167603684,151.178560072301,Entire home/apt,2,72,1.14,0,136
Waverley,-33.8852592715165,151.282430127368,Private room,2,8,0.11,0,100
Waverley,-33.8796557902273,151.279538094902,Private room,5,2,0.41,306,53
Woollahra,-33.8863146881762,151.230809907583,Private room,1,1,0.03,0,75
Marrickville,-33.8938248996101,151.164395857669,Entire home/apt,7,28,0.52,344,220
Warringah,-33.7642937093241,151.25851674432,Entire home/apt,1,280,3.54,289,100
Blacktown,-33.7843887557054,150.845713428327,Private room,3,23,0.29,365,50
Blacktown,-33.7833778222578,150.84674691439,Private room,3,11,0.14,365,46
Waverley,-33.8889493246254,151.276659801361,Entire home/apt,2,51,0.64,300,239
Woollahra,-33.8879088627034,151.232740153038,Entire home/apt,14,2,0.04,0,100
Sydney,-33.870381109528,151.220465149359,Entire home/apt,3,159,2.01,264,172
Willoughby,-33.8034119571247,151.159901049629,Private room,2,96,1.22,344,75
Pittwater,-33.6427476269168,151.279171400899,Entire home/apt,2,3,0.08,155,779
Pittwater,-33.6434925338189,151.277367173176,Entire home/apt,2,10,0.15,216,360
Parramatta,-33.8263413081593,151.018427765217,Private room,168,0,0,358,40
Warringah,-33.7684997230841,151.258557037198,Entire home/apt,3,34,0.43,289,105
Waverley,-33.8991776763354,151.272264615417,Entire home/apt,2,95,1.33,245,186
Pittwater,-33.6408534607509,151.320228446528,Entire home/apt,2,89,1.23,339,190
Woollahra,-33.88104753744,151.222959396885,Entire home/apt,1,158,2.14,327,105
Leichhardt,-33.8588852740286,151.191993118743,Private room,2,116,1.47,29,109
Woollahra,-33.8853278200672,151.263668843766,Entire home/apt,7,1,0.03,0,150
Randwick,-33.9116969535654,151.261527920923,Entire home/apt,7,5,0.07,96,750
Waverley,-33.8946815095192,151.269949683961,Entire home/apt,4,20,0.28,0,251
Woollahra,-33.8828087759109,151.223418432097,Entire home/apt,2,125,2.35,34,140
Woollahra,-33.8735492570504,151.234580359391,Entire home/apt,2,0,0,78,195
Hornsby,-33.7225374925237,151.051192334989,Private room,1,32,0.42,364,177
Manly,-33.7967055468554,151.270449862129,Entire home/apt,7,9,0.12,83,395
Sydney,-33.8812091736063,151.21160844171,Private room,1,202,2.52,309,138
Sydney,-33.8767229057254,151.220405498793,Entire home/apt,3,0,0,0,300
Sydney,-33.8819984805961,151.210173078244,Private room,1,247,3.12,327,140
Pittwater,-33.6939001892022,151.290716255512,Entire home/apt,7,2,0.03,0,260
Waverley,-33.8905121166321,151.271486251843,Entire home/apt,2,67,0.98,208,289
Randwick,-33.9155760097878,151.264886351957,Entire home/apt,2,15,0.19,0,84
Sydney,-33.8926860405131,151.201446121299,Entire home/apt,6,7,0.09,0,89
Sydney,-33.9147565247912,151.206407903288,Private room,1,11,0.14,342,96
Randwick,-33.9215388154894,151.253918049253,Entire home/apt,10,0,0,0,400
Sydney,-33.8861964667777,151.211632284281,Entire home/apt,4,43,0.59,352,289
Warringah,-33.7634831009108,151.297390090115,Entire home/apt,7,2,0.06,42,955
Sydney,-33.8899573860268,151.179486817071,Entire home/apt,14,5,0.08,0,118
