neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
Marrickville,-33.9144769767613,151.152003935369,Entire home/apt,3,1,0.09,0,100
Waverley,-33.8870040703453,151.276413779453,Private room,2,0,,0,96
Sydney,-33.872077758817,151.196344480343,Entire home/apt,2,11,0.97,78,288
Sydney,-33.8762858451446,151.185627841656,Private room,3,2,0.17,0,50
North Sydney,-33.8254116479225,151.228627196493,Private room,27,0,,0,29
Manly,-33.7978426090181,151.27597723175,Private room,3,5,0.44,0,150
Pittwater,-33.640148441718,151.285627657106,Entire home/apt,3,1,0.09,1,748
Sydney,-33.8799225297492,151.214515059947,Entire home/apt,1,33,3.11,115,100
Sydney,-33.874325565539,151.225817737667,Entire home/apt,5,28,2.46,268,161
Sydney,-33.8865825069305,151.198355255293,Entire home/apt,2,63,5.46,278,199
Woollahra,-33.8796447803415,151.236151995772,Entire home/apt,2,0,,0,400
North Sydney,-33.8363617601999,151.207428773491,Entire home/apt,1,43,3.75,75,141
Pittwater,-33.624245638933,151.323206322242,Entire home/apt,2,17,1.49,93,251
Waverley,-33.9067325443868,151.264129449052,Private room,6,3,0.26,7,50
Waverley,-33.8859568466221,151.282125338474,Private room,1,3,0.3,0,84
Randwick,-33.9149801255069,151.251602924866,Private room,1,1,0.09,0,71
Manly,-33.7877964744907,151.285164529475,Private room,2,0,,160,75
Randwick,-33.9064763017948,151.23328770424,Entire home/apt,1,0,,0,90
Sutherland Shire,-34.058247466664,151.151158874031,Private room,1,2,0.17,0,55
Sydney,-33.8791211744983,151.215729777862,Entire home/apt,2,2,0.18,0,100
Sydney,-33.8875563258979,151.201334426236,Entire home/apt,1,0,,0,500
Parramatta,-33.8113172688275,151.005279744959,Private room,6,1,0.09,38,80
Randwick,-33.9120476718294,151.250780272466,Entire home/apt,3,2,0.18,176,251
Warringah,-33.7225009972731,151.297016325963,Private room,1,5,0.43,281,80
Sutherland Shire,-34.0548816719026,151.152581206797,Private room,3,0,,0,55
Sydney,-33.8778191125791,151.217321168989,Entire home/apt,1,30,2.64,6,150
Sydney,-33.8824504361965,151.202207463025,Shared room,3,1,0.1,0,40
Ryde,-33.780885843661,151.113397971294,Private room,3,4,0.36,0,35
Sydney,-33.9033535487863,151.206073502001,Private room,1,28,2.46,0,71
Manly,-33.7864124649419,151.285517927352,Entire home/apt,2,2,0.43,67,199
Parramatta,-33.8200401427219,151.003371948612,Private room,2,0,,365,100
Sydney,-33.9023745681718,151.199951096589,Private room,1,1,0.09,0,100
Sydney,-33.8849623462869,151.18219060056,Private room,3,2,0.18,0,79
City Of Kogarah,-33.9680895624878,151.096254068115,Entire home/apt,2,2,0.18,64,155
Woollahra,-33.87441566255,151.235072748409,Private room,1,1,0.09,163,129
Waverley,-33.883784154853,151.274138546308,Entire home/apt,2,0,,0,400
Sydney,-33.8810795800299,151.215836433147,Entire home/apt,3,1,0.09,0,120
Waverley,-33.8830808390964,151.274490590229,Private room,2,0,,0,300
Willoughby,-33.7978747160182,151.177470797804,Entire home/apt,14,0,,0,83
Parramatta,-33.7931232466685,151.002912819307,Private room,1,0,,89,69
Waverley,-33.8897203551934,151.242406660644,Private room,10,0,,0,46
Canterbury,-33.9103160776982,151.103675973166,Entire home/apt,3,22,1.94,293,82
Sydney,-33.8950291928364,151.18291145723,Private room,2,45,4.03,25,60
Waverley,-33.8955030817498,151.252752977616,Private room,2,1,0.09,0,64
Sydney,-33.878928489567,151.222906151803,Entire home/apt,7,0,,0,599
Randwick,-33.9434320792073,151.244676019327,Entire home/apt,3,4,0.36,31,150
Sydney,-33.8743449620315,151.226077109832,Entire home/apt,4,43,3.7,86,129
Randwick,-33.9101789863009,151.22202800546,Entire home/apt,3,4,0.36,0,130
Waverley,-33.8906834300369,151.26301094638,Entire home/apt,21,0,,0,155
Canada Bay,-33.8428621822363,151.084555778958,Entire home/apt,1,78,6.92,221,90
Sydney,-33.9131200415705,151.20630791687,Entire home/apt,2,10,0.88,54,400
Sydney,-33.8814109198685,151.202112854995,Private room,1,1,0.09,0,68
Ryde,-33.8218092635592,151.101852981782,Private room,4,0,,0,242
Sydney,-33.8643314270855,151.211128897957,Entire home/apt,2,50,4.44,22,220
Sydney,-33.8745465590999,151.204854969951,Entire home/apt,2,38,3.45,0,220
Pittwater,-33.6822744815166,151.287429421229,Private room,2,2,0.36,90,104
Sydney,-33.9004875789602,151.202554929459,Private room,1,4,0.42,34,90
Botany Bay,-33.9539267076494,151.198362102196,Private room,1,43,3.82,341,50
North Sydney,-33.8294483247766,151.19372986689,Entire home/apt,3,4,0.35,0,300
Sydney,-33.8819614031437,151.198859215717,Entire home/apt,4,2,0.21,6,318
Bankstown,-33.9240788540402,151.024344350501,Private room,3,0,,0,65
Pittwater,-33.6420688081972,151.330413979213,Entire home/apt,14,0,,340,999
Pittwater,-33.6271092484641,151.334754905299,Entire home/apt,14,0,,345,572
Pittwater,-33.6188731539742,151.337479988164,Entire home/apt,14,0,,1,664
Holroyd,-33.8149821990953,150.967033492138,Entire home/apt,1,0,,0,161
Sydney,-33.8804749398788,151.195487515172,Shared room,2,1,0.09,0,40
The Hills Shire,-33.7307174868601,151.002126076629,Private room,1,14,1.24,0,25
Auburn,-33.8245088733642,151.077215813549,Shared room,1,9,0.78,0,48
Waverley,-33.8862991860728,151.275706250961,Private room,7,1,0.09,0,55
Manly,-33.7980864654299,151.272326003822,Private room,3,0,,0,400
Hurstville,-33.9615468295593,151.105925121423,Shared room,1,1,0.09,362,80
North Sydney,-33.8461035710736,151.210632212772,Entire home/apt,5,0,,0,194
Sutherland Shire,-34.0613834716509,151.153244170971,Entire home/apt,2,0,,0,300
Sydney,-33.9071631075733,151.203824331686,Private room,2,6,0.57,34,100
Randwick,-33.9422379157191,151.26314902356,Private room,2,35,3.07,274,71
Sydney,-33.8920372455753,151.192206340345,Private room,1,0,,0,71
Randwick,-33.9231911839856,151.233870098331,Private room,1,1,0.09,8,43
Waverley,-33.8833334884867,151.277734005418,Private room,3,0,,0,60
Sydney,-33.8964093535242,151.21513860973,Private room,2,1,0.09,0,120
Sydney,-33.8762626981253,151.219979063469,Entire home/apt,21,26,2.29,30,170
Ryde,-33.8090370522818,151.093579682992,Private room,4,1,0.09,0,30
Sydney,-33.8932021712899,151.191087262092,Private room,1,1,0.09,0,75
Waverley,-33.8884447549597,151.266400853492,Private room,5,0,,0,75
Waverley,-33.8789789871521,151.271465045962,Entire home/apt,4,2,0.18,11,208
Sydney,-33.8845681060581,151.182868781607,Private room,1,4,0.35,0,30
Rockdale,-33.9318793454505,151.139658873306,Private room,1,2,0.18,0,60
Ku-Ring-Gai,-33.7545249921249,151.148344418925,Private room,2,0,,90,48
Rockdale,-33.9344221607693,151.157316497679,Entire home/apt,1,29,2.7,62,120
Sydney,-33.9123459364294,151.199952240362,Private room,1,4,0.35,0,71
Botany Bay,-33.9516189941156,151.203675758035,Private room,1,110,9.51,336,84
Waverley,-33.8948701896008,151.245186620349,Private room,1,2,0.18,12,65
Penrith,-33.7657511900847,150.722454947692,Private room,90,0,,365,55
Sydney,-33.8842533378581,151.213642915074,Private room,1,2,0.17,159,82
Auburn,-33.8474507120942,151.07284539734,Entire home/apt,1,45,3.96,34,230
Sydney,-33.8680248073538,151.190945725248,Private room,1,31,2.8,29,199
Sydney,-33.8835670069081,151.196946958484,Shared room,6,0,,0,40
Randwick,-33.9063177487286,151.249717977407,Private room,1,2,0.18,0,46
Waverley,-33.8877616283958,151.283625206692,Private room,12,1,0.09,0,100
Ryde,-33.8129918726652,151.105601513984,Entire home/apt,2,3,0.27,67,109
Blacktown,-33.745070746504,150.917250289118,Entire home/apt,1,38,3.29,0,120
Botany Bay,-33.9225064559044,151.185586312632,Entire home/apt,1,4,0.35,0,150
Sydney,-33.9011354222657,151.186027392819,Entire home/apt,2,24,2.14,0,165
Sydney,-33.8781142619148,151.212292267905,Private room,1,26,2.27,7,120
Waverley,-33.8873419142622,151.269919840561,Entire home/apt,5,4,0.37,0,75
Waverley,-33.8936677835357,151.271443257072,Entire home/apt,3,0,,23,130
Leichhardt,-33.8683724506468,151.175315942745,Entire home/apt,3,1,0.09,0,71
Marrickville,-33.8888898862306,151.174674026801,Entire home/apt,7,0,,0,79
City Of Kogarah,-33.9714998081165,151.13237533049,Private room,2,0,,0,75
Warringah,-33.7316928860746,151.287207539993,Private room,1,0,,0,75
North Sydney,-33.8412475300928,151.206917854453,Private room,4,0,,0,190
Sydney,-33.8854815480979,151.213628518186,Private room,1,4,0.35,250,72
Randwick,-33.925098103263,151.2541199322,Entire home/apt,3,1,0.1,0,130
Holroyd,-33.8384403374821,150.985765976263,Shared room,1,0,,0,71
Holroyd,-33.837363462015,150.99150108044,Shared room,1,0,,0,15
Mosman,-33.8255564125293,151.243929092346,Shared room,2,2,0.17,89,40
Marrickville,-33.8971234907982,151.166724972933,Entire home/apt,2,43,3.77,108,251
Marrickville,-33.8881830718877,151.170786098589,Private room,10,0,,0,35
Randwick,-33.9386343512604,151.236108209219,Private room,7,0,,0,50
Sydney,-33.8847763171871,151.214561946446,Shared room,1,0,,35,65
Sydney,-33.8983388298924,151.178316568245,Private room,2,10,0.89,0,71
Waverley,-33.8820875772127,151.278047087445,Private room,3,1,0.09,0,75
Waverley,-33.8841042924792,151.277257532597,Entire home/apt,3,1,0.09,0,450
Woollahra,-33.8778611814802,151.260349471812,Entire home/apt,5,0,,29,850
Willoughby,-33.811015599536,151.176276676058,Private room,1,26,2.28,0,46
Manly,-33.799945804146,151.286969601263,Private room,3,3,0.26,0,90
Sydney,-33.8681612350132,151.204457732157,Entire home/apt,1,41,3.74,191,163
Rockdale,-33.9285184992797,151.146165121483,Entire home/apt,1,1,0.1,179,269
City Of Kogarah,-33.9785275365722,151.107637588527,Private room,3,2,1.5,48,80
Marrickville,-33.9012279662947,151.158375444533,Entire home/apt,2,20,1.99,333,180
Waverley,-33.8958249113362,151.259694645919,Private room,1,4,0.38,0,120
Leichhardt,-33.8720101746629,151.161382871272,Entire home/apt,1,1,0.09,0,89
Waverley,-33.8962369145811,151.272535564021,Private room,4,2,0.17,0,35
Waverley,-33.8950641859575,151.252324972833,Private room,1,1,0.09,0,100
Sydney,-33.9125610051496,151.205195368208,Entire home/apt,1,0,,0,138
Sydney,-33.866702759903,151.22362551002,Entire home/apt,14,2,0.21,346,300
Sydney,-33.9048840727478,151.212997025594,Private room,4,1,0.09,0,120
Waverley,-33.8944595506651,151.2512163113,Private room,1,16,1.4,0,60
Waverley,-33.8845085859729,151.28176918432,Entire home/apt,2,0,,0,186
Sydney,-33.9034934112227,151.182815246507,Entire home/apt,3,23,2.09,34,419
Rockdale,-33.9291551560514,151.147760817665,Private room,3,1,0.09,0,75
Botany Bay,-33.9248458779707,151.188869988658,Private room,1,0,,0,80
Sydney,-33.8779717096082,151.196548057696,Private room,1,42,3.64,62,75
Sutherland Shire,-34.00736916398,151.067853972773,Entire home/apt,1,24,3.33,19,105
Waverley,-33.8976015113639,151.272772473797,Private room,3,1,0.09,0,80
Burwood,-33.8775766568269,151.1157799509,Entire home/apt,2,28,2.46,173,120
Rockdale,-33.9668579608907,151.141309411009,Private room,1,12,1.07,0,48
Sydney,-33.8804112154685,151.209207750813,Entire home/apt,1,4,0.35,0,210
Parramatta,-33.8170366121015,151.009011609294,Entire home/apt,2,31,2.74,196,119
Hornsby,-33.7621540295229,151.061365734884,Private room,1,0,,0,71
Bankstown,-33.9132133342493,151.03040737108,Entire home/apt,1,9,0.79,32,150
Marrickville,-33.8908110669978,151.166939252121,Private room,3,3,0.31,144,80
Parramatta,-33.8206350161299,151.007661197221,Private room,5,0,,0,65
Waverley,-33.8958702928835,151.249963680277,Private room,2,0,,0,100
Sydney,-33.9157442876556,151.208927854524,Private room,2,2,0.18,20,65
Sydney,-33.8725349783911,151.224432688162,Private room,4,0,,85,84
Randwick,-33.9229362971203,151.23233732188,Private room,3,2,0.18,0,51
Warringah,-33.7722423437399,151.292922185947,Entire home/apt,2,10,0.91,63,270
Waverley,-33.8919984727454,151.284043724726,Entire home/apt,3,1,0.09,53,199
Hornsby,-33.7716151802599,151.088098273303,Private room,1,0,,56,60
Warringah,-33.7569373035097,151.247268370497,Private room,2,0,,0,60
North Sydney,-33.8281295540087,151.207450780729,Private room,1,2,2,0,65
Marrickville,-33.9034901159172,151.176705016942,Entire home/apt,2,17,1.49,56,159
Sydney,-33.8815324164394,151.215012566437,Entire home/apt,3,18,3.12,182,138
Bankstown,-33.952378220194,151.029443757926,Private room,3,0,,91,120
Botany Bay,-33.9418734053412,151.20488035747,Private room,1,28,3.53,2,84
Manly,-33.7970922861404,151.285003227468,Entire home/apt,2,3,0.28,0,152
Waverley,-33.8879113895371,151.272793616743,Entire home/apt,3,0,,364,750
Ryde,-33.793881182359,151.136951203143,Entire home/apt,2,29,3.28,134,96
Camden,-34.056473837911,150.759525388622,Private room,1,10,0.96,364,60
Ryde,-33.7957677259479,151.132856199823,Entire home/apt,2,1,0.09,6,199
Leichhardt,-33.8875733150077,151.151104255175,Private room,2,1,0.09,0,100
Parramatta,-33.7975208634293,150.964150543263,Entire home/apt,2,25,2.4,99,82
Sydney,-33.8822596960919,151.195214208734,Private room,2,1,0.11,0,69
Rockdale,-33.930041222667,151.145868975653,Private room,3,0,,0,75
Randwick,-33.9044551109926,151.249152923705,Private room,1,22,1.97,5,50
Pittwater,-33.6405512659135,151.311091913869,Entire home/apt,5,1,1,72,350
Marrickville,-33.9112173703291,151.164975895587,Entire home/apt,2,1,0.09,0,90
Woollahra,-33.871967005482,151.2694036756,Entire home/apt,3,0,,0,300
Randwick,-33.9107632036695,151.23613718659,Entire home/apt,1,1,0.1,21,90
Warringah,-33.7764165954468,151.284705437923,Private room,3,0,,0,60
Leichhardt,-33.8644529021939,151.178634905723,Entire home/apt,3,1,,179,395
Waverley,-33.8907618260516,151.283681812508,Entire home/apt,5,1,0.09,365,850
Waverley,-33.8853146068199,151.280060490832,Private room,7,1,0.09,0,40
Randwick,-33.9144006334627,151.251766020986,Entire home/apt,3,1,0.09,7,251
Hornsby,-33.6960236797295,151.104805981705,Private room,1,0,,180,80
Woollahra,-33.8816280794157,151.23259798888,Entire home/apt,4,8,0.74,56,199
Sydney,-33.8777975392042,151.203209460575,Private room,1,2,0.18,0,80
Waverley,-33.897149807572,151.270348635298,Entire home/apt,2,1,0.09,0,147
Sydney,-33.8731233466351,151.193908825968,Private room,3,7,0.65,0,75
Burwood,-33.8758210537819,151.103609542277,Entire home/apt,2,26,2.29,0,174
Sydney,-33.8711557869403,151.224682916817,Shared room,28,1,0.09,0,55
Canterbury,-33.9214449602579,151.107832220639,Shared room,1,0,,309,65
Sydney,-33.9083288032258,151.205661867405,Private room,2,0,,0,125
Rockdale,-33.9326281994855,151.143793379428,Private room,1,1,0.1,267,65
Hornsby,-33.6019823241078,151.117204832863,Entire home/apt,2,4,0.56,345,500
North Sydney,-33.822522585871,151.230344666557,Entire home/apt,2,0,,0,180
Sydney,-33.8997612156797,151.20958658764,Private room,1,1,0.09,0,90
Waverley,-33.8889815996598,151.280116932923,Entire home/apt,3,12,1.16,0,150
Waverley,-33.8909228183343,151.283382405031,Entire home/apt,2,1,0.1,0,199
Parramatta,-33.8173046268045,151.055615564433,Private room,2,2,0.23,365,55
Manly,-33.7962588657514,151.246552744912,Entire home/apt,7,0,,33,415
Waverley,-33.8904362471733,151.260078087674,Private room,2,1,0.09,0,71
Pittwater,-33.6252743873585,151.330914688579,Entire home/apt,14,0,,19,498
Willoughby,-33.7898806031407,151.178681719253,Private room,1,37,3.27,161,84
Willoughby,-33.7905052288971,151.180065048358,Private room,1,54,4.74,146,71
Sydney,-33.8843425201356,151.215554445956,Private room,2,3,0.28,0,150
Canada Bay,-33.8510656983327,151.137835051798,Private room,7,0,,181,71
Warringah,-33.7681796984896,151.285947071109,Private room,2,0,,0,125
Sydney,-33.8895230343067,151.214786791833,Private room,1,1,0.1,0,64
Leichhardt,-33.8879956278763,151.15822771827,Entire home/apt,1,10,2.03,18,100
Woollahra,-33.8885670021198,151.241998473286,Private room,3,1,0.09,0,91
Hornsby,-33.770907629007,151.089940353512,Private room,1,1,0.09,50,100
Sydney,-33.8848634726224,151.179144016916,Private room,1,4,0.4,0,75
Manly,-33.7892225079802,151.283459317287,Entire home/apt,2,1,0.09,0,140
Randwick,-33.9407327046671,151.239439892671,Shared room,1,1,0.09,0,40
Botany Bay,-33.9335187822431,151.19468158881,Private room,1,2,0.18,0,60
Botany Bay,-33.9282667745433,151.187861869603,Entire home/apt,28,26,2.38,7,120
Manly,-33.7986070773477,151.281163866978,Entire home/apt,5,12,1.14,23,300
Ku-Ring-Gai,-33.7668561555227,151.161345249971,Entire home/apt,2,12,1.17,311,129
Marrickville,-33.8906933615304,151.174679538621,Private room,4,0,,0,57
Sydney,-33.8785477224741,151.19712862742,Entire home/apt,2,46,4.06,79,188
Sydney,-33.8814732910503,151.19675119925,Private room,3,0,,134,1089
Randwick,-33.9218753723281,151.225791445713,Entire home/apt,2,2,0.21,0,119
Sydney,-33.8751425621265,151.219420672644,Entire home/apt,1,0,,0,400
Sydney,-33.8706925998459,151.22148998987,Entire home/apt,20,23,2.1,74,109
Sydney,-33.8766965860407,151.219366074091,Private room,1,3,0.26,0,60
Sydney,-33.8753592882807,151.221656905722,Private room,1,19,3.41,0,100
Pittwater,-33.6586695914198,151.308654410449,Entire home/apt,2,19,1.9,1,84
Sydney,-33.8715255789986,151.195097483006,Private room,1,0,,0,251
Waverley,-33.9006999449821,151.251861902752,Private room,1,4,2.03,314,55
North Sydney,-33.8509354280331,151.216094778763,Entire home/apt,2,0,,18,150
Randwick,-33.9151306331134,151.256930527766,Entire home/apt,5,0,,15,300
Sydney,-33.87991523476,151.214127222985,Entire home/apt,1,41,3.63,99,129
Waverley,-33.8952970637865,151.272071926361,Private room,4,0,,0,84
Parramatta,-33.7974788943705,151.03865181318,Entire home/apt,1,15,1.37,60,150
Waverley,-33.8941988506185,151.262263729659,Entire home/apt,1,0,,250,212
North Sydney,-33.8468800256914,151.214291204748,Entire home/apt,5,3,0.31,45,80
Waverley,-33.887693436224,151.282643029598,Private room,6,8,0.7,0,83
Waverley,-33.888777376083,151.275369784542,Entire home/apt,1,6,0.55,28,100
Randwick,-33.9204802891902,151.217607638751,Private room,1,1,0.09,0,199
Randwick,-33.9202813784829,151.218112954763,Private room,1,1,0.09,17,180
Pittwater,-33.7041964588364,151.28231802568,Private room,1,1,0.09,53,79
Waverley,-33.8942508642592,151.261583635343,Entire home/apt,1,1,1,55,212
Sydney,-33.9068196375993,151.212104390866,Entire home/apt,1,3,0.27,340,1786
Randwick,-33.9210290491524,151.218108780981,Private room,1,1,0.09,0,120
Woollahra,-33.8729118118746,151.263527582263,Private room,3,8,0.8,34,84
Randwick,-33.9190717517264,151.254116481222,Entire home/apt,1,1,0.1,0,180
Hornsby,-33.5370066970266,151.244161767631,Entire home/apt,2,3,1.32,89,251
Sydney,-33.8748400201687,151.228347706208,Entire home/apt,3,1,0.1,0,199
Sydney,-33.8881882752816,151.214964718491,Entire home/apt,5,1,0.1,0,251
Sutherland Shire,-34.0611904646333,151.152931448274,Entire home/apt,3,2,0.22,8,350
Parramatta,-33.8144200263524,151.001371641223,Entire home/apt,3,0,,358,300
Lane Cove,-33.8186173687322,151.15397131498,Private room,3,0,,0,90
Waverley,-33.8993514657588,151.264673089949,Private room,7,0,,0,80
Waverley,-33.8873631461711,151.280217731938,Private room,10,0,,0,90
Sydney,-33.8778005446369,151.197675078209,Private room,3,0,,220,161
Waverley,-33.9057820499219,151.26604079942,Entire home/apt,3,7,0.72,17,132
Warringah,-33.7719987187221,151.26321804271,Entire home/apt,2,2,0.26,109,115
Auburn,-33.8469493944272,151.031828673512,Private room,4,0,,0,50
Burwood,-33.8776786915766,151.101864546417,Private room,3,2,0.22,85,199
North Sydney,-33.827868783024,151.209612979829,Entire home/apt,3,13,1.26,172,199
Randwick,-33.9344270531275,151.238064914091,Private room,1,4,0.36,0,43
Waverley,-33.8888831056229,151.268507499661,Private room,3,3,0.27,7,71
Sydney,-33.8852872770676,151.199742212853,Entire home/apt,2,18,1.58,42,154
Sydney,-33.8943995190146,151.185115493342,Entire home/apt,2,20,2.09,33,251
Pittwater,-33.6569435605459,151.322040196242,Entire home/apt,7,1,0.1,337,642
Marrickville,-33.9075569795571,151.176745741114,Entire home/apt,1,1,0.11,28,140
Manly,-33.8006828699633,151.291236640154,Entire home/apt,2,0,,7,997
Warringah,-33.7130542087282,151.301119600257,Entire home/apt,5,0,,30,999
Hornsby,-33.769521608463,151.088293633653,Private room,1,0,,52,80
Pittwater,-33.6485987766668,151.318444310612,Entire home/apt,7,0,,49,1286
Sydney,-33.9066660737507,151.208450327889,Entire home/apt,2,54,4.76,38,180
Warringah,-33.7584875024612,151.273368525496,Entire home/apt,7,0,,0,251
Rockdale,-33.9288944327703,151.150530483776,Private room,1,16,1.42,0,50
Rockdale,-33.9541608892832,151.142974476286,Entire home/apt,2,5,0.44,88,249
Ryde,-33.8210467689301,151.099214279513,Entire home/apt,1,30,2.67,28,109
Rockdale,-33.9814906556904,151.137850410031,Entire home/apt,3,3,0.29,128,190
Hornsby,-33.778850846152,151.08526355835,Private room,1,2,0.18,310,138
Sydney,-33.8979663168514,151.198009867518,Entire home/apt,2,0,,0,109
Marrickville,-33.9209244778388,151.170499113562,Shared room,1,0,,0,26
Botany Bay,-33.920904582755,151.185519366708,Shared room,1,7,0.63,189,48
Hornsby,-33.5382244037709,151.235943065164,Private room,1,6,0.58,262,155
Randwick,-33.9387587003068,151.23887969647,Shared room,1,0,,0,25
Randwick,-33.9197122330108,151.250873358233,Entire home/apt,5,7,0.66,0,125
Hornsby,-33.7807662921384,151.086776553391,Private room,1,2,0.18,355,89
Marrickville,-33.8960974570403,151.178977214656,Entire home/apt,2,23,2.18,129,120
Warringah,-33.7561367288995,151.292820432888,Entire home/apt,1,1,0.09,0,66
Sydney,-33.8993117983969,151.214040985021,Entire home/apt,2,10,0.93,28,251
Sutherland Shire,-34.0122301614237,151.102312559414,Private room,1,47,4.27,76,42
Marrickville,-33.9006124302987,151.171131324059,Private room,1,3,0.26,85,80
Sydney,-33.8904149915946,151.207799050286,Entire home/apt,3,6,0.58,61,400
Sutherland Shire,-34.0153153434572,151.067983512485,Private room,2,20,1.97,159,36
Randwick,-33.9130346887271,151.261909939147,Entire home/apt,1,0,,89,199
Randwick,-33.9105162331165,151.24801061929,Private room,1,0,,0,109
Sydney,-33.8741244254298,151.181678447929,Entire home/apt,4,37,3.58,188,96
Waverley,-33.8879115493147,151.269412929645,Private room,2,2,0.22,87,150
Sydney,-33.8793383868806,151.212472154429,Entire home/apt,1,45,3.95,59,115
Pittwater,-33.706873417773,151.291709064195,Entire home/apt,2,35,3.19,362,120
Sydney,-33.8747381226009,151.195298889663,Entire home/apt,3,0,,0,150
Willoughby,-33.8126190178977,151.186681604391,Private room,50,0,,180,71
Hornsby,-33.779016701246,151.086872616749,Private room,1,0,,320,89
Canterbury,-33.9252169663994,151.142972824966,Entire home/apt,3,0,,0,84
Waverley,-33.8955425651907,151.24130989191,Entire home/apt,2,0,,38,300
Ryde,-33.8041474317726,151.112320823117,Private room,2,2,0.21,113,48
Hornsby,-33.7708390035066,151.088600421255,Private room,1,0,,0,71
Waverley,-33.8805212946143,151.282086205761,Entire home/apt,7,0,,66,700
Sydney,-33.9049881831349,151.206027093579,Private room,3,1,0.1,84,84
Woollahra,-33.8889143810432,151.259913157387,Entire home/apt,1,6,0.53,0,72
Sydney,-33.8978822198568,151.19169664941,Private room,1,29,2.83,74,80
Mosman,-33.8187753894826,151.249938710282,Entire home/apt,4,22,2.36,254,251
Sydney,-33.9117688142122,151.211635319965,Entire home/apt,1,4,0.35,302,300
Sydney,-33.9000255188632,151.210605149544,Entire home/apt,1,4,0.37,0,100
Marrickville,-33.904031542555,151.177302697,Entire home/apt,2,6,0.6,0,145
Sydney,-33.8722982946391,151.210046199971,Entire home/apt,1,36,3.21,63,134
Sydney,-33.9051849834825,151.18537686339,Entire home/apt,1,36,3.67,63,127
Sydney,-33.8894381618721,151.209625071995,Shared room,2,0,,0,37
Ryde,-33.7777133285792,151.11471778759,Entire home/apt,1,54,4.86,70,158
Hornsby,-33.7264677141149,151.08949822614,Private room,1,0,,90,71
Warringah,-33.7773150468411,151.290136347417,Entire home/apt,2,19,1.91,293,350
Sydney,-33.8864566439737,151.176969727868,Entire home/apt,1,4,0.41,0,150
Sydney,-33.890328188239,151.208705566181,Entire home/apt,2,54,4.81,264,239
Sydney,-33.9095439184836,151.211157746187,Private room,1,0,,0,48
Botany Bay,-33.9228793411853,151.186217319349,Private room,2,3,0.27,309,120
Auburn,-33.8325434872842,151.073007287607,Private room,1,0,,0,289
Waverley,-33.8811785896389,151.276801779022,Private room,2,11,1,161,71
Waverley,-33.8809950657422,151.276351958561,Entire home/apt,5,0,,13,150
Waverley,-33.8924994427073,151.251066166248,Shared room,1,1,0.09,0,30
Canterbury,-33.922068477232,151.09142730149,Private room,2,16,1.48,15,35
Rockdale,-33.9325805173351,151.145542510411,Shared room,10,0,,0,100
Sydney,-33.8781461572425,151.208110229183,Entire home/apt,1,26,2.68,74,350
Warringah,-33.765367770598,151.296307309341,Entire home/apt,2,27,2.82,135,115
Randwick,-33.9501394805043,151.24596008783,Private room,2,0,,0,84
Pittwater,-33.6201629033035,151.316309065741,Entire home/apt,7,0,,1,997
Pittwater,-33.6116692610451,151.328561349295,Entire home/apt,7,0,,1,1107
Ashfield,-33.8918626300365,151.122314209579,Shared room,1,24,2.18,342,25
Ashfield,-33.8828893702671,151.125878974021,Entire home/apt,2,1,0.37,33,96
City Of Kogarah,-33.985872798507,151.107272977757,Private room,1,0,,0,36
Auburn,-33.8476008579614,151.071922211725,Entire home/apt,2,26,2.92,25,98
Pittwater,-33.6123167974962,151.327965139681,Entire home/apt,14,0,,10,775
Warringah,-33.7415167770787,151.294215395064,Entire home/apt,30,0,,173,239
Randwick,-33.9085244294951,151.235859856635,Shared room,1,0,,0,46
Leichhardt,-33.8579553075556,151.1823820574,Entire home/apt,3,2,0.49,4,170
Marrickville,-33.912300808257,151.167335123489,Private room,3,3,0.3,0,48
Rockdale,-33.932928265071,151.146000469843,Private room,1,0,,0,150
Waverley,-33.9041338606447,151.266100457908,Entire home/apt,2,29,2.76,150,320
Woollahra,-33.8735784053243,151.258939651563,Private room,2,1,0.09,0,80
Warringah,-33.7573690889375,151.230983596443,Private room,2,2,0.19,46,89
Ashfield,-33.8906116116756,151.121965564379,Private room,1,10,0.91,342,25
Manly,-33.8000444960705,151.29287238479,Entire home/apt,3,11,1.08,12,407
Liverpool,-33.9221117240799,150.921209014991,Private room,1,0,,364,96
Randwick,-33.9430880601079,151.248464247907,Entire home/apt,2,0,,0,233
Manly,-33.8005918279601,151.2514217167,Entire home/apt,5,0,,0,500
Pittwater,-33.6924623257819,151.295660895028,Entire home/apt,4,3,0.29,7,180
Manly,-33.7857661493836,151.286778968242,Entire home/apt,3,0,,0,350
Ku-Ring-Gai,-33.7777578458068,151.171976037514,Entire home/apt,3,24,2.27,9,115
Sydney,-33.9050252579955,151.208245363224,Private room,3,19,1.77,357,80
Canada Bay,-33.842089334875,151.106585382541,Entire home/apt,1,52,4.83,341,96
Randwick,-33.9141801114505,151.26468658017,Private room,1,2,0.2,0,199
Warringah,-33.7744281468376,151.280893060335,Entire home/apt,5,1,0.29,311,400
Ku-Ring-Gai,-33.7815327416915,151.186152512652,Private room,2,1,0.25,38,68
Waverley,-33.8663939883282,151.283324872059,Private room,2,0,,0,51
Canada Bay,-33.8548362474775,151.145453734501,Entire home/apt,2,7,0.65,0,180
